product,material,region,city,craft_process,platform,price,sales,rating,reviews
necklace,terracotta,karnataka,hyderabad,loom weaving,meesho,7276,142,3.6,389
necklace,stone,odisha,ahmedabad,handloom weaving,amazon,334,35,3.9,106
handbag,stone,uttar pradesh,kanchipuram,handcrafted,amazon,4031,93,4.9,389
handbag,stone,gujarat,puri,traditional carving,meesho,4088,194,4.1,150
wall hanging,clay,odisha,kanchipuram,block printing,meesho,305,199,4.9,316
bracelet,brass,karnataka,mysore,handloom weaving,amazon,6198,72,3.9,470
necklace,stone,karnataka,hyderabad,block printing,etsy,1478,111,4.5,269
bracelet,wood,uttar pradesh,varanasi,metal casting,etsy,983,210,4.3,346
vase,jute,andhra pradesh,ahmedabad,traditional carving,etsy,3435,105,5.0,442
necklace,stone,tamil nadu,mysore,block printing,meesho,3949,188,4.3,38
wall hanging,cotton,rajasthan,ahmedabad,loom weaving,meesho,6754,211,4.6,151
lamp,brass,andhra pradesh,mysore,handcrafted,flipkart,5709,147,3.6,57
saree,brass,andhra pradesh,jaipur,metal casting,meesho,5887,38,4.6,32
necklace,terracotta,odisha,jaipur,handloom weaving,meesho,1137,222,3.8,124
vase,brass,uttar pradesh,jaipur,traditional carving,flipkart,1517,79,4.4,152
wall hanging,jute,west bengal,mysore,pottery shaping,etsy,5463,172,3.9,86
necklace,brass,karnataka,kolkata,block printing,amazon,3993,197,4.5,456
necklace,bamboo,odisha,mysore,metal casting,meesho,4998,107,4.4,219
lamp,stone,rajasthan,varanasi,loom weaving,flipkart,6911,106,4.0,466
lamp,brass,karnataka,jaipur,traditional carving,meesho,7396,176,4.4,256
bracelet,silk,karnataka,mysore,metal casting,amazon,4617,212,4.6,296
lamp,wood,karnataka,kolkata,hand-woven,amazon,7561,160,4.1,80
saree,silk,odisha,varanasi,handcrafted,meesho,2157,66,3.7,202
handbag,brass,odisha,varanasi,block printing,amazon,3239,127,3.6,197
bracelet,wood,uttar pradesh,varanasi,pottery shaping,amazon,3742,191,4.4,6
shawl,jute,west bengal,jaipur,handloom weaving,etsy,4431,205,4.4,388
saree,cotton,tamil nadu,ahmedabad,handcrafted,flipkart,6672,44,4.5,421
wall hanging,wood,west bengal,kolkata,loom weaving,flipkart,7061,226,4.3,180
saree,silk,rajasthan,kanchipuram,metal casting,amazon,1232,29,3.9,37
saree,wood,rajasthan,jaipur,pottery shaping,flipkart,729,196,4.1,270
handbag,stone,rajasthan,kolkata,loom weaving,etsy,3802,190,4.0,426
lamp,cotton,karnataka,puri,pottery shaping,meesho,3183,29,4.7,429
saree,bamboo,uttar pradesh,puri,handloom weaving,flipkart,4396,110,4.7,257
lamp,jute,andhra pradesh,kolkata,handloom weaving,etsy,1738,60,4.3,360
shawl,terracotta,tamil nadu,kolkata,block printing,amazon,2117,168,4.0,403
lamp,terracotta,andhra pradesh,kanchipuram,pottery shaping,meesho,2194,45,3.6,430
wall hanging,stone,gujarat,jaipur,hand-woven,meesho,7371,182,4.9,452
necklace,jute,gujarat,kanchipuram,loom weaving,meesho,527,57,4.0,357
scarf,cotton,andhra pradesh,kolkata,metal casting,flipkart,372,73,4.2,444
necklace,jute,karnataka,varanasi,block printing,amazon,5246,242,3.6,115
necklace,stone,odisha,mysore,metal casting,etsy,4545,193,5.0,393
lamp,brass,tamil nadu,hyderabad,handloom weaving,flipkart,4091,25,4.0,118
necklace,wood,tamil nadu,mysore,block printing,etsy,4168,84,3.7,184
scarf,brass,tamil nadu,puri,pottery shaping,amazon,1159,30,3.8,368
vase,clay,uttar pradesh,kolkata,handcrafted,meesho,1360,14,4.9,71
bracelet,wood,uttar pradesh,mysore,pottery shaping,flipkart,4684,242,3.6,276
vase,cotton,uttar pradesh,hyderabad,pottery shaping,etsy,6576,159,3.7,21
statue,terracotta,tamil nadu,kanchipuram,traditional carving,etsy,5429,97,4.0,226
lamp,silk,andhra pradesh,varanasi,traditional carving,etsy,1824,77,4.7,391
handbag,cotton,rajasthan,varanasi,handloom weaving,etsy,1854,237,4.7,154
statue,terracotta,karnataka,puri,hand-woven,meesho,3118,54,3.8,105
bracelet,cotton,odisha,jaipur,handloom weaving,amazon,673,146,3.9,164
handbag,cotton,karnataka,mysore,pottery shaping,amazon,1990,182,3.6,32
scarf,bamboo,karnataka,varanasi,metal casting,etsy,5128,83,4.7,329
scarf,brass,tamil nadu,puri,block printing,flipkart,1460,231,4.8,361
vase,silk,gujarat,kanchipuram,traditional carving,flipkart,4806,19,3.5,215
vase,stone,andhra pradesh,varanasi,hand-woven,etsy,5294,147,4.1,433
lamp,bamboo,tamil nadu,kanchipuram,hand-woven,etsy,410,10,4.9,299
necklace,brass,tamil nadu,kolkata,traditional carving,flipkart,7371,50,4.3,455
saree,brass,uttar pradesh,jaipur,handloom weaving,etsy,2886,211,4.4,92
saree,wood,tamil nadu,kanchipuram,loom weaving,flipkart,3731,28,3.7,161
statue,clay,rajasthan,kanchipuram,hand-woven,flipkart,5685,92,3.6,423
vase,brass,karnataka,puri,hand-woven,meesho,6388,249,3.8,212
statue,terracotta,tamil nadu,ahmedabad,pottery shaping,flipkart,1647,173,4.2,174
vase,cotton,odisha,kanchipuram,loom weaving,meesho,1922,36,3.8,482
wall hanging,terracotta,karnataka,mysore,handloom weaving,etsy,3412,40,4.6,115
lamp,bamboo,gujarat,ahmedabad,metal casting,amazon,5702,21,3.8,284
lamp,brass,rajasthan,mysore,handcrafted,etsy,1169,139,3.8,62
bracelet,brass,gujarat,puri,traditional carving,etsy,252,199,4.4,390
vase,terracotta,gujarat,hyderabad,handcrafted,flipkart,7486,152,3.9,227
vase,jute,andhra pradesh,ahmedabad,block printing,etsy,6617,144,4.1,450
wall hanging,silk,gujarat,jaipur,metal casting,flipkart,982,55,4.3,79
statue,clay,andhra pradesh,kolkata,metal casting,etsy,3992,47,3.6,60
wall hanging,clay,andhra pradesh,varanasi,loom weaving,amazon,858,98,4.5,395
saree,clay,west bengal,mysore,block printing,etsy,4227,56,5.0,460
wall hanging,wood,rajasthan,ahmedabad,handcrafted,etsy,1313,107,3.5,51
wall hanging,jute,tamil nadu,hyderabad,handcrafted,etsy,522,134,5.0,213
vase,bamboo,karnataka,varanasi,pottery shaping,meesho,1776,46,4.7,454
vase,jute,uttar pradesh,hyderabad,pottery shaping,meesho,7043,151,4.7,450
wall hanging,bamboo,karnataka,jaipur,loom weaving,etsy,983,34,4.2,123
statue,brass,andhra pradesh,varanasi,pottery shaping,etsy,5092,140,4.0,410
shawl,brass,west bengal,varanasi,handcrafted,flipkart,5400,147,4.8,53
saree,wood,odisha,jaipur,traditional carving,meesho,7875,123,4.6,211
necklace,clay,tamil nadu,varanasi,metal casting,amazon,3510,46,3.7,38
shawl,wood,odisha,mysore,pottery shaping,flipkart,6748,31,4.4,311
bracelet,silk,rajasthan,puri,pottery shaping,etsy,6755,39,4.1,97
lamp,bamboo,uttar pradesh,kolkata,traditional carving,etsy,5655,75,3.6,51
shawl,silk,karnataka,varanasi,metal casting,flipkart,347,112,3.8,136
handbag,clay,karnataka,jaipur,handloom weaving,etsy,4681,38,4.1,285
necklace,clay,uttar pradesh,jaipur,handcrafted,amazon,4643,48,5.0,290
saree,terracotta,tamil nadu,mysore,loom weaving,meesho,1686,127,3.6,249
bracelet,silk,west bengal,jaipur,metal casting,amazon,6567,186,4.4,310
handbag,bamboo,tamil nadu,kolkata,traditional carving,meesho,2020,47,4.2,171
handbag,silk,uttar pradesh,kolkata,pottery shaping,flipkart,6818,204,4.8,327
lamp,bamboo,west bengal,puri,pottery shaping,amazon,6862,176,3.7,235
saree,stone,gujarat,kolkata,loom weaving,meesho,7771,121,4.4,171
vase,bamboo,andhra pradesh,hyderabad,pottery shaping,etsy,1430,230,4.2,291
wall hanging,bamboo,west bengal,kanchipuram,hand-woven,amazon,4450,30,3.7,276
handbag,stone,tamil nadu,kolkata,traditional carving,meesho,1368,145,4.8,189
shawl,cotton,rajasthan,varanasi,handcrafted,flipkart,2875,239,4.0,183
necklace,silk,uttar pradesh,hyderabad,metal casting,meesho,1693,127,4.7,470
statue,brass,rajasthan,jaipur,handcrafted,meesho,6871,170,3.8,231
handbag,wood,karnataka,jaipur,handcrafted,flipkart,7903,193,4.1,257
handbag,wood,gujarat,ahmedabad,traditional carving,etsy,5797,156,3.8,287
scarf,cotton,rajasthan,kolkata,hand-woven,amazon,4203,127,4.0,16
shawl,brass,tamil nadu,ahmedabad,hand-woven,meesho,1055,143,4.5,309
handbag,bamboo,rajasthan,ahmedabad,metal casting,meesho,5952,39,4.8,186
scarf,terracotta,karnataka,mysore,block printing,etsy,2352,151,3.8,35
statue,brass,andhra pradesh,varanasi,handloom weaving,flipkart,4765,83,4.5,380
shawl,silk,andhra pradesh,kanchipuram,pottery shaping,meesho,6328,100,3.8,311
statue,jute,andhra pradesh,kolkata,handcrafted,flipkart,5537,213,4.9,351
necklace,jute,karnataka,varanasi,pottery shaping,amazon,4337,112,4.2,79
lamp,cotton,karnataka,jaipur,traditional carving,etsy,4108,91,4.2,136
wall hanging,wood,west bengal,kolkata,metal casting,amazon,5988,138,4.0,330
necklace,stone,karnataka,puri,hand-woven,etsy,2559,163,4.1,13
necklace,terracotta,karnataka,kanchipuram,hand-woven,meesho,1576,66,4.5,488
vase,silk,uttar pradesh,ahmedabad,metal casting,meesho,2190,102,4.7,68
bracelet,wood,gujarat,jaipur,traditional carving,flipkart,2624,237,4.2,411
vase,cotton,west bengal,ahmedabad,loom weaving,amazon,2553,29,5.0,121
vase,brass,andhra pradesh,kolkata,block printing,etsy,749,151,4.9,29
lamp,clay,rajasthan,mysore,loom weaving,amazon,1652,90,4.3,426
necklace,terracotta,tamil nadu,ahmedabad,metal casting,etsy,694,246,3.7,101
bracelet,cotton,karnataka,kanchipuram,handloom weaving,flipkart,5661,165,3.6,279
scarf,brass,gujarat,kanchipuram,hand-woven,etsy,5652,126,3.5,241
vase,bamboo,tamil nadu,hyderabad,loom weaving,etsy,1578,35,4.7,97
scarf,silk,karnataka,varanasi,handcrafted,meesho,1890,149,4.1,7
statue,brass,uttar pradesh,hyderabad,metal casting,flipkart,4824,50,3.8,151
scarf,brass,tamil nadu,varanasi,block printing,flipkart,765,241,3.5,293
lamp,wood,karnataka,kolkata,handloom weaving,meesho,6444,139,5.0,42
lamp,bamboo,karnataka,jaipur,traditional carving,flipkart,6656,201,5.0,252
wall hanging,wood,gujarat,kanchipuram,loom weaving,amazon,5890,15,4.9,176
vase,wood,andhra pradesh,varanasi,hand-woven,flipkart,5730,142,4.7,79
statue,bamboo,uttar pradesh,jaipur,traditional carving,flipkart,4514,34,4.7,173
shawl,wood,rajasthan,ahmedabad,hand-woven,amazon,5920,43,4.4,131
wall hanging,cotton,uttar pradesh,varanasi,loom weaving,flipkart,2533,208,4.8,437
saree,stone,tamil nadu,jaipur,handcrafted,flipkart,1315,55,4.1,121
wall hanging,terracotta,tamil nadu,hyderabad,handcrafted,amazon,7384,13,4.8,380
necklace,stone,andhra pradesh,kanchipuram,handloom weaving,flipkart,5632,215,4.0,389
scarf,bamboo,gujarat,jaipur,loom weaving,flipkart,7995,37,4.7,460
statue,terracotta,west bengal,jaipur,handloom weaving,etsy,4152,80,4.0,78
lamp,silk,rajasthan,kanchipuram,pottery shaping,amazon,506,63,4.5,175
lamp,stone,uttar pradesh,ahmedabad,loom weaving,etsy,4727,185,4.6,344
lamp,clay,west bengal,ahmedabad,handcrafted,amazon,2244,33,4.8,120
necklace,bamboo,rajasthan,kanchipuram,block printing,etsy,7497,15,4.2,462
bracelet,brass,tamil nadu,hyderabad,hand-woven,amazon,1342,219,4.4,450
wall hanging,clay,odisha,puri,pottery shaping,etsy,2257,207,4.0,62
statue,stone,andhra pradesh,kanchipuram,traditional carving,flipkart,747,62,4.9,210
scarf,cotton,west bengal,kanchipuram,loom weaving,meesho,3927,236,4.8,271
vase,stone,tamil nadu,puri,handcrafted,flipkart,3907,48,3.6,485
scarf,bamboo,gujarat,hyderabad,hand-woven,meesho,3109,156,4.0,214
necklace,bamboo,west bengal,puri,block printing,amazon,1457,242,4.4,347
handbag,stone,uttar pradesh,hyderabad,block printing,etsy,2770,216,4.2,127
lamp,jute,andhra pradesh,mysore,metal casting,meesho,6802,235,4.3,58
scarf,terracotta,gujarat,varanasi,hand-woven,amazon,4658,173,4.1,494
bracelet,silk,rajasthan,kolkata,loom weaving,meesho,7581,193,4.9,91
necklace,jute,uttar pradesh,varanasi,traditional carving,etsy,237,118,4.6,267
scarf,wood,rajasthan,ahmedabad,metal casting,etsy,5468,158,3.7,158
necklace,cotton,west bengal,varanasi,block printing,amazon,2578,245,4.0,87
statue,wood,tamil nadu,mysore,loom weaving,amazon,7072,189,4.7,262
necklace,clay,west bengal,kanchipuram,hand-woven,amazon,5204,184,4.0,115
necklace,jute,karnataka,varanasi,metal casting,amazon,3002,238,4.0,96
handbag,cotton,tamil nadu,kolkata,loom weaving,meesho,7135,113,3.7,338
necklace,terracotta,andhra pradesh,kolkata,block printing,flipkart,4997,77,4.3,95
vase,wood,andhra pradesh,kolkata,handcrafted,flipkart,4369,192,4.9,342
scarf,brass,andhra pradesh,kolkata,metal casting,meesho,1371,242,3.9,350
wall hanging,clay,rajasthan,jaipur,hand-woven,amazon,5529,63,3.8,57
statue,stone,gujarat,varanasi,handloom weaving,etsy,1106,233,4.5,211
lamp,cotton,karnataka,hyderabad,metal casting,etsy,7954,97,4.3,220
bracelet,silk,rajasthan,mysore,pottery shaping,etsy,1182,226,4.4,312
necklace,jute,gujarat,mysore,traditional carving,amazon,3092,229,4.1,76
vase,brass,odisha,kolkata,loom weaving,etsy,7804,167,4.3,108
wall hanging,clay,odisha,puri,loom weaving,amazon,3265,99,4.8,422
vase,brass,andhra pradesh,jaipur,loom weaving,meesho,4418,73,4.2,307
vase,brass,andhra pradesh,hyderabad,pottery shaping,etsy,1450,230,3.8,171
saree,silk,rajasthan,mysore,metal casting,amazon,1690,219,4.7,171
scarf,cotton,tamil nadu,hyderabad,handloom weaving,meesho,3817,23,3.6,497
scarf,wood,uttar pradesh,puri,handloom weaving,meesho,1806,162,3.6,158
bracelet,wood,west bengal,puri,block printing,etsy,4781,38,4.6,187
necklace,stone,odisha,kanchipuram,metal casting,meesho,3998,190,4.5,138
saree,cotton,gujarat,kanchipuram,traditional carving,meesho,1443,30,4.2,235
shawl,silk,rajasthan,ahmedabad,handloom weaving,flipkart,851,64,4.2,355
statue,brass,west bengal,jaipur,hand-woven,meesho,1866,88,4.4,385
vase,silk,tamil nadu,mysore,hand-woven,etsy,2328,238,3.9,381
wall hanging,jute,uttar pradesh,ahmedabad,block printing,etsy,5224,24,4.6,277
scarf,silk,rajasthan,puri,block printing,flipkart,4757,82,4.2,160
wall hanging,stone,andhra pradesh,kolkata,handloom weaving,flipkart,1107,237,4.1,455
necklace,brass,odisha,varanasi,traditional carving,amazon,7818,163,4.2,220
saree,bamboo,uttar pradesh,varanasi,block printing,amazon,4008,163,4.5,87
wall hanging,wood,west bengal,puri,metal casting,flipkart,4876,138,4.5,239
bracelet,silk,tamil nadu,hyderabad,handcrafted,meesho,2846,165,3.7,48
wall hanging,wood,uttar pradesh,mysore,handloom weaving,flipkart,6702,235,5.0,315
scarf,clay,uttar pradesh,mysore,traditional carving,meesho,1607,98,4.5,297
lamp,bamboo,rajasthan,varanasi,block printing,amazon,7621,194,4.6,479
saree,wood,odisha,varanasi,handloom weaving,etsy,6544,121,4.4,131
handbag,clay,west bengal,hyderabad,metal casting,flipkart,4100,10,4.0,180
necklace,jute,karnataka,varanasi,block printing,flipkart,1070,43,3.7,89
scarf,jute,andhra pradesh,jaipur,hand-woven,amazon,3696,180,4.2,333
saree,jute,west bengal,jaipur,hand-woven,meesho,5580,50,3.6,407
scarf,wood,west bengal,kanchipuram,handcrafted,flipkart,5689,174,4.3,218
handbag,bamboo,odisha,mysore,handcrafted,amazon,921,25,4.3,105
vase,silk,odisha,kanchipuram,handloom weaving,flipkart,204,208,4.7,459
saree,terracotta,uttar pradesh,kolkata,metal casting,meesho,5220,66,4.6,136
saree,cotton,karnataka,ahmedabad,pottery shaping,amazon,2080,222,4.9,96
wall hanging,silk,rajasthan,ahmedabad,handcrafted,amazon,4750,26,4.0,28
wall hanging,jute,uttar pradesh,jaipur,traditional carving,flipkart,1806,21,4.3,39
vase,brass,west bengal,ahmedabad,handloom weaving,meesho,4071,196,4.2,381
statue,terracotta,odisha,mysore,traditional carving,amazon,5833,57,4.3,34
lamp,clay,odisha,varanasi,handcrafted,flipkart,3890,241,3.9,105
shawl,cotton,andhra pradesh,kanchipuram,metal casting,amazon,5981,243,4.2,209
saree,terracotta,uttar pradesh,puri,handcrafted,flipkart,6358,221,3.5,10
wall hanging,cotton,odisha,hyderabad,loom weaving,meesho,2207,57,3.8,199
bracelet,terracotta,gujarat,kanchipuram,pottery shaping,flipkart,6914,189,4.6,81
statue,bamboo,west bengal,hyderabad,hand-woven,etsy,4803,154,3.5,309
lamp,silk,west bengal,kanchipuram,traditional carving,meesho,625,189,4.5,417
vase,brass,gujarat,hyderabad,block printing,meesho,3428,72,4.1,470
bracelet,wood,west bengal,ahmedabad,handloom weaving,meesho,5000,93,4.1,451
handbag,stone,odisha,ahmedabad,hand-woven,etsy,3823,114,3.9,431
shawl,silk,karnataka,kolkata,block printing,meesho,4975,238,4.2,397
shawl,jute,andhra pradesh,ahmedabad,hand-woven,etsy,2614,148,5.0,445
statue,brass,gujarat,kanchipuram,traditional carving,meesho,3312,155,3.7,322
lamp,silk,tamil nadu,kanchipuram,pottery shaping,etsy,7968,114,4.4,174
necklace,silk,odisha,ahmedabad,traditional carving,flipkart,1778,154,4.6,179
necklace,clay,odisha,varanasi,traditional carving,flipkart,5531,100,4.3,35
vase,stone,west bengal,kanchipuram,handloom weaving,meesho,4233,249,4.8,345
handbag,silk,odisha,jaipur,handcrafted,etsy,2896,192,3.7,231
scarf,jute,andhra pradesh,mysore,metal casting,flipkart,1580,109,4.5,433
shawl,brass,odisha,puri,metal casting,amazon,1316,183,4.1,53
necklace,cotton,west bengal,kolkata,traditional carving,flipkart,5168,155,5.0,131
handbag,terracotta,tamil nadu,kolkata,block printing,etsy,1284,231,3.8,475
lamp,clay,gujarat,mysore,pottery shaping,etsy,7255,28,4.8,246
saree,terracotta,gujarat,ahmedabad,metal casting,meesho,5878,53,4.7,39
shawl,wood,gujarat,ahmedabad,metal casting,meesho,357,236,4.7,347
vase,bamboo,west bengal,kolkata,loom weaving,meesho,3891,90,4.6,411
bracelet,silk,west bengal,mysore,handcrafted,etsy,7753,233,4.2,137
necklace,cotton,andhra pradesh,hyderabad,hand-woven,flipkart,3199,230,4.8,424
handbag,silk,andhra pradesh,mysore,metal casting,amazon,5245,211,3.5,459
vase,cotton,uttar pradesh,kolkata,handloom weaving,meesho,667,40,4.7,260
vase,clay,andhra pradesh,kolkata,metal casting,amazon,1067,87,4.6,392
saree,cotton,tamil nadu,puri,hand-woven,etsy,5727,16,3.6,276
statue,stone,odisha,ahmedabad,metal casting,amazon,6471,11,4.3,13
wall hanging,stone,andhra pradesh,mysore,metal casting,meesho,2739,106,4.1,288
lamp,clay,rajasthan,varanasi,handcrafted,flipkart,4798,221,4.4,374
bracelet,jute,uttar pradesh,hyderabad,block printing,meesho,4440,72,4.0,406
statue,bamboo,rajasthan,kolkata,handcrafted,flipkart,1460,56,4.7,207
scarf,clay,uttar pradesh,kanchipuram,pottery shaping,etsy,4437,150,4.2,360
handbag,wood,odisha,mysore,block printing,etsy,4293,39,4.1,496
handbag,jute,west bengal,hyderabad,block printing,amazon,7889,179,3.9,84
vase,stone,rajasthan,jaipur,handcrafted,meesho,685,82,4.6,293
lamp,stone,andhra pradesh,puri,traditional carving,amazon,2616,209,3.8,211
necklace,clay,karnataka,puri,traditional carving,amazon,5197,192,3.9,281
bracelet,bamboo,andhra pradesh,hyderabad,traditional carving,amazon,5712,173,4.7,117
statue,stone,andhra pradesh,hyderabad,loom weaving,meesho,4340,21,4.4,500
shawl,silk,tamil nadu,kolkata,handloom weaving,meesho,4105,53,4.4,262
statue,silk,west bengal,varanasi,pottery shaping,meesho,7003,147,4.3,214
necklace,terracotta,karnataka,jaipur,handloom weaving,etsy,7356,180,4.8,253
wall hanging,silk,gujarat,puri,handcrafted,meesho,2897,179,3.7,309
lamp,bamboo,andhra pradesh,ahmedabad,handcrafted,meesho,7509,39,3.6,169
wall hanging,cotton,odisha,hyderabad,pottery shaping,flipkart,504,138,3.6,310
handbag,terracotta,odisha,puri,hand-woven,flipkart,2173,197,4.8,323
wall hanging,terracotta,tamil nadu,puri,handcrafted,flipkart,1828,98,4.9,430
necklace,clay,odisha,puri,loom weaving,amazon,3251,135,4.6,354
handbag,terracotta,west bengal,varanasi,block printing,amazon,1454,220,4.4,372
saree,cotton,odisha,jaipur,pottery shaping,etsy,6319,107,4.0,46
shawl,wood,odisha,jaipur,metal casting,etsy,7668,22,4.1,87
handbag,stone,gujarat,kanchipuram,metal casting,amazon,4032,187,4.7,357
bracelet,brass,odisha,ahmedabad,pottery shaping,meesho,4706,180,4.1,27
saree,jute,uttar pradesh,kanchipuram,loom weaving,amazon,4319,213,4.2,61
bracelet,terracotta,karnataka,mysore,block printing,meesho,2453,213,4.4,454
shawl,wood,gujarat,kanchipuram,loom weaving,etsy,5066,247,3.6,13
lamp,terracotta,uttar pradesh,kanchipuram,handloom weaving,etsy,7839,64,4.7,269
bracelet,brass,uttar pradesh,ahmedabad,loom weaving,meesho,6375,46,4.0,312
saree,brass,west bengal,varanasi,block printing,meesho,1240,178,4.0,419
lamp,jute,odisha,ahmedabad,handcrafted,etsy,4766,202,4.5,490
handbag,terracotta,uttar pradesh,kanchipuram,handcrafted,amazon,2854,201,4.4,341
lamp,silk,odisha,varanasi,hand-woven,amazon,1389,39,3.7,196
handbag,bamboo,odisha,varanasi,handcrafted,amazon,7148,25,3.5,16
wall hanging,clay,west bengal,jaipur,loom weaving,amazon,1070,250,4.3,347
scarf,bamboo,andhra pradesh,hyderabad,traditional carving,flipkart,6695,112,4.7,290
wall hanging,jute,west bengal,mysore,traditional carving,flipkart,5052,229,4.1,430
handbag,silk,andhra pradesh,mysore,pottery shaping,flipkart,2890,152,4.7,189
scarf,brass,karnataka,kanchipuram,handloom weaving,etsy,537,33,4.8,220
handbag,clay,gujarat,ahmedabad,loom weaving,flipkart,239,136,4.9,317
lamp,cotton,tamil nadu,ahmedabad,hand-woven,amazon,7722,197,4.4,15
shawl,brass,rajasthan,kanchipuram,hand-woven,etsy,1417,94,4.2,170
bracelet,bamboo,tamil nadu,hyderabad,hand-woven,amazon,745,74,3.8,137
wall hanging,terracotta,gujarat,kolkata,handcrafted,amazon,5390,33,4.8,18
wall hanging,stone,andhra pradesh,mysore,traditional carving,etsy,6980,167,3.8,153
vase,cotton,odisha,ahmedabad,metal casting,amazon,7767,124,4.3,437
saree,wood,gujarat,jaipur,handcrafted,amazon,5011,188,3.5,12
wall hanging,bamboo,odisha,mysore,pottery shaping,meesho,6815,172,4.3,70
shawl,stone,rajasthan,ahmedabad,traditional carving,amazon,3779,93,4.4,350
bracelet,silk,odisha,varanasi,handloom weaving,etsy,5721,115,4.9,341
necklace,wood,tamil nadu,kolkata,block printing,meesho,3963,250,3.7,431
scarf,terracotta,west bengal,jaipur,pottery shaping,etsy,6155,106,4.8,121
shawl,brass,karnataka,hyderabad,block printing,amazon,1948,31,4.6,134
necklace,silk,west bengal,jaipur,traditional carving,meesho,742,196,4.9,366
statue,silk,odisha,ahmedabad,hand-woven,flipkart,2071,120,4.5,341
statue,bamboo,karnataka,kolkata,metal casting,etsy,6662,22,4.8,101
wall hanging,clay,odisha,hyderabad,metal casting,flipkart,7466,68,4.0,253
scarf,wood,andhra pradesh,jaipur,metal casting,amazon,6574,153,4.7,340
scarf,brass,uttar pradesh,kanchipuram,handcrafted,amazon,4392,85,4.6,455
vase,wood,uttar pradesh,kanchipuram,pottery shaping,etsy,3792,148,4.0,404
lamp,silk,odisha,mysore,hand-woven,flipkart,6808,58,4.6,146
handbag,jute,odisha,varanasi,hand-woven,etsy,2504,38,4.7,255
scarf,bamboo,tamil nadu,puri,loom weaving,etsy,5032,85,3.7,212
shawl,clay,karnataka,puri,handcrafted,flipkart,1741,224,4.1,282
necklace,jute,rajasthan,puri,block printing,etsy,3028,55,4.8,165
saree,stone,uttar pradesh,puri,handloom weaving,etsy,3478,207,4.0,144
necklace,terracotta,uttar pradesh,jaipur,pottery shaping,flipkart,2408,47,4.3,495
lamp,jute,gujarat,jaipur,metal casting,meesho,4894,36,4.7,322
wall hanging,brass,uttar pradesh,jaipur,loom weaving,meesho,3785,117,4.8,363
necklace,bamboo,west bengal,jaipur,hand-woven,meesho,4332,112,4.4,214
handbag,cotton,uttar pradesh,kanchipuram,handloom weaving,meesho,1986,230,3.8,433
statue,bamboo,uttar pradesh,varanasi,handcrafted,etsy,2551,135,4.1,355
handbag,terracotta,andhra pradesh,mysore,metal casting,etsy,1461,59,3.9,417
bracelet,clay,uttar pradesh,hyderabad,metal casting,etsy,4776,57,4.6,194
wall hanging,wood,west bengal,kolkata,loom weaving,amazon,6253,24,4.0,221
handbag,wood,tamil nadu,varanasi,handloom weaving,etsy,5394,49,4.2,38
bracelet,cotton,andhra pradesh,jaipur,handcrafted,etsy,6903,119,4.6,491
bracelet,clay,uttar pradesh,hyderabad,metal casting,etsy,3271,18,3.8,269
shawl,wood,karnataka,hyderabad,traditional carving,flipkart,7399,210,4.1,110
wall hanging,jute,karnataka,varanasi,loom weaving,etsy,3152,137,5.0,44
saree,terracotta,karnataka,hyderabad,metal casting,flipkart,416,192,4.2,410
shawl,clay,odisha,hyderabad,block printing,amazon,1864,250,4.5,317
handbag,brass,west bengal,jaipur,metal casting,amazon,2871,63,3.6,130
scarf,clay,odisha,kanchipuram,handloom weaving,etsy,1206,175,4.0,259
necklace,bamboo,west bengal,jaipur,block printing,meesho,919,205,4.2,151
scarf,jute,west bengal,jaipur,hand-woven,meesho,5180,33,5.0,320
shawl,wood,andhra pradesh,varanasi,metal casting,meesho,7103,74,5.0,242
necklace,cotton,west bengal,kolkata,handloom weaving,etsy,4192,58,3.7,437
vase,jute,karnataka,hyderabad,loom weaving,etsy,3727,171,4.5,472
scarf,terracotta,odisha,puri,loom weaving,flipkart,6275,132,3.7,48
saree,clay,tamil nadu,puri,traditional carving,amazon,5651,18,5.0,39
necklace,cotton,karnataka,kanchipuram,pottery shaping,flipkart,2634,76,3.7,30
vase,cotton,odisha,varanasi,pottery shaping,meesho,1205,80,3.9,132
vase,clay,odisha,hyderabad,hand-woven,etsy,1137,29,4.2,389
lamp,silk,tamil nadu,ahmedabad,block printing,meesho,288,171,3.8,378
lamp,jute,karnataka,puri,hand-woven,flipkart,4728,101,4.8,154
vase,terracotta,andhra pradesh,kolkata,handloom weaving,etsy,3610,27,4.6,420
saree,bamboo,tamil nadu,ahmedabad,pottery shaping,meesho,1200,232,4.1,489
wall hanging,cotton,gujarat,ahmedabad,metal casting,meesho,5943,68,4.5,379
lamp,brass,andhra pradesh,kolkata,metal casting,flipkart,3024,244,3.8,155
statue,cotton,tamil nadu,kolkata,block printing,meesho,7195,92,4.4,129
saree,terracotta,odisha,kolkata,metal casting,meesho,4761,76,3.5,288
handbag,stone,odisha,ahmedabad,loom weaving,amazon,4753,243,3.9,299
saree,cotton,karnataka,ahmedabad,handcrafted,etsy,1542,177,4.2,258
scarf,bamboo,gujarat,kanchipuram,hand-woven,amazon,2834,144,3.9,73
necklace,bamboo,rajasthan,mysore,handloom weaving,meesho,823,79,4.5,208
vase,stone,gujarat,kanchipuram,handcrafted,etsy,7973,157,3.7,111
shawl,bamboo,odisha,jaipur,hand-woven,amazon,2845,194,3.8,311
